NUMBER	ID	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
250	hair..of.head	hair (of head)	2648	HAIR (HEAD)
251	half..portion	half (portion)	816	HALF
252	hand..arm	hand (arm)	1277	HAND
253	hand:palm.of	palm of hand	1183	PALM OF HAND
254	hard..firm:to.be	to be hard (firm)	1884	HARD
255	head	head	1256	HEAD
256	head.:forehead	forehead	123	FOREHEAD
257	hear:to	to hear	1408	HEAR
258	heart	heart	1223	HEART
259	heavy:to.be	to be heavy	1210	HEAVY
260	heel	heel	980	HEEL
261	hit..something:to	to hit (something)	1433	HIT
262	hold.in.hand:to	to hold in hand	1448	HOLD
263	horn..of.animal	horn (of animal)	1393	HORN (ANATOMY)
264	hornbill..general	hornbill (general)	3260	HORNBILL
265	horse	horse	615	HORSE
266	house	house	1252	HOUSE
267	housefly..common	housefly (common)	1504	FLY (INSECT)
268	hungry:to.be	to be hungry	1533	BE HUNGRY
269	hunt:to	to hunt	1435	HUNT
270	husband	husband	1200	HUSBAND
271	ignite..vt:to	to ignite (vt)	737	LIGHT (IGNITE)
272	ill..sick:to.be	to be ill (sick)	1847	SICK
273	incorrect:to.be	to be incorrect	3069	FALSE
274	insect	insect	620	INSECT
275	intestines	intestines	1991	INTESTINES
276	iron	iron	621	IRON
277	itchy:to.be	to be itchy	149	ITCHY
278	juice	juice	1499	JUICE
279	jump:to	to jump	1829	JUMP
280	kick..and.propel:to	to kick (and propel)	1135	KICK
281	kill:to	to kill	1417	KILL
282	kneel:to	to kneel	66	KNEEL
283	knife	knife	1352	KNIFE
284	know..how:to	to know (how)	2238	KNOW HOW
285	know..something:to	to know (something)	1410	KNOW (SOMETHING)
286	lake	lake	624	LAKE
287	land..area	land (area)	626	LAND
288	language	language	1307	LANGUAGE
289	laugh:to	to laugh	1355	LAUGH
290	leaf..general	leaf (general)	628	LEAF
291	lean..not.fat:to.be	to be lean (not fat)	1400	THIN (SLIM)
292	learn:to	to learn	504	LEARN
293	leech:terrestrial	terrestrial leech	2273	LEECH
294	left.side	left side	244	LEFT
295	leg.:calf	calf	498	CALF OF LEG
296	leg.:foot	foot	1301	FOOT
297	leg.:knee	knee	1371	KNEE
298	leg.:shin	shin	186	SHIN
299	leg.:thigh	thigh	800	THIGH
300	lick:to	to lick	319	LICK
301	lie..decieve:to	to lie (decieve)	601	LIE (MISLEAD)
302	life..lifetime	life (lifetime)	210	LIFE
303	lift:to	to lift	501	LIFT
304	lightning..in.sky	lightning (in sky)	1654	LIGHTNING
305	lightweight:to.be	to be lightweight	1052	LIGHT (WEIGHT)
306	lime..betelnut	lime (betelnut)	2540	LIME (MATERIAL)
307	lip..of.mouth	lip (of mouth)	478	LIP
308	liver	liver	1224	LIVER
309	lizard..general	lizard (general)	632	LIZARD
310	lizard.:chameleon	chameleon	–	–
311	lizard:monitor	monitor lizard	3017	MONITOR LIZARD
312	long:to.be	to be long	1203	LONG
313	look.at:to	to look at	1819	LOOK
314	loom	loom	1787	LOOM
315	loose:to.be	to be loose	2506	LOOSE
316	lose..something:to	to lose (something)	1660	LOSE
317	louse	louse	1392	LOUSE
318	love:to	to love	923	LOVE
319	maize..corn	maize (corn)	506	MAIZE
320	man..male.person	man (male person)	1554	MAN
321	mango	mango	2398	MANGO
322	many:to.be	to be many	1198	MANY
323	marigold..flower	marigold (flower)	–	–
324	mat	mat	195	MAT
325	match..stick	match (stick)	1133	MATCH
326	meat..flesh	meat (flesh)	634	MEAT
327	medicine	medicine	1372	MEDICINE
328	milk	milk	635	MILK
329	millet..general	millet (general)	931	MILLET
330	money	money	1559	MONEY
331	monkey	monkey	1350	MONKEY
332	monkey.:gibbon	gibbon	2511	GIBBON
333	month	month	1370	MONTH
334	moon	moon	1313	MOON
335	morning	morning	1339	MORNING
336	mortar	mortar	224	MORTAR
337	mosquito	mosquito	1509	MOSQUITO
338	mother	mother	1216	MOTHER
339	mother.in.law	mother in law	–	–
340	mountain	mountain	639	MOUNTAIN
341	mountain.peak..summit	mountain peak (summit)	2205	PEAK
342	mouth	mouth	674	MOUTH
343	mud	mud	640	MUD
344	muroid	muroid	2139	MUROID (MOUSE OR RAT)
345	mushroom..general	mushroom (general)	–	–
346	mushroom..tree.type	mushroom (tree type)	–	–
347	name	name	1405	NAME
348	narrow:to.be	to be narrow	1267	NARROW
349	navel	navel	1838	NAVEL
350	near:to.be	to be near	1942	NEAR
351	neck	neck	1333	NECK
352	necklace	necklace	1961	NECKLACE
353	needle	needle	1382	NEEDLE (FOR SEWING)
354	nest:bird	bird nest	3549	BIRD NEST
355	new:to.be	to be new	1231	NEW
356	night	night	1233	NIGHT
357	noon..midday	noon (midday)	12	MIDDAY
358	north	north	1598	NORTH
359	nose	nose	1221	NOSE
360	ogre	ogre	–	–
361	oil..substance	oil (substance)	2556	OIL (HYDROPHOBIC LIQUID)
362	okra	okra	–	–
363	old..of.people:to.be	to be old (of people)	2112	OLD (AGED)
364	old..of.things:to.be	to be old (of things)	–	–
365	onion	onion	2366	ONION
366	opium	opium	–	–
367	otter	otter	15	OTTER
368	overmorrow	overmorrow	1179	DAY AFTER TOMORROW
369	owl	owl	735	OWL
370	pangolin	pangolin	2508	PANGOLIN
371	parrot	parrot	882	PARROT
372	path..road	path (road)	2252	PATH
373	pay:to	to pay	718	PAY
374	peanut	peanut	2364	PEANUT
375	penis	penis	1222	PENIS
376	people	people	789	PEOPLE
377	person..human	person (human)	683	PERSON
378	pestle	pestle	225	PESTLE
379	pierce.puncture:to	to pierce puncture	398	PIERCE
380	pig	pig	1337	PIG
381	pillow	pillow	1044	PILLOW
382	pineapple	pineapple	–	–
383	place..put:to	to place (put)	998	PUT
384	plant	plant	653	PLANT (VEGETATION)
385	plant:to	to plant	1486	PLANT (SOMETHING)
386	plate	plate	480	PLATE
387	play..of.children:to	to play (of children)	1413	PLAY
388	plough:to	to plough	1921	PLOUGH
389	poison..general	poison (general)	655	POISON
390	porcupine	porcupine	2510	PORCUPINE
391	pot:cooking	cooking pot	1462	POT
392	potato	potato	593	POTATO
393	pound..of.rice:to	to pound (of rice)	354	POUND
394	pregnant:to.be	to be pregnant	–	–
395	pull:to	to pull	1455	PULL
396	pus	pus	1808	PUS
397	push:to	to push	1452	PUSH
398	q.:what	what	–	–
399	rabbit	rabbit	1136	RABBIT
400	raft	raft	1664	RAFT
401	rain	rain	1253	RAIN (RAINING)
402	rainbow	rainbow	1733	RAINBOW
403	raw..uncooked:to.be	to be raw (uncooked)	1959	RAW
404	release..let.go:to	to release (let go)	1095	LET GO OR SET FREE
405	remember:to	to remember	707	REMEMBER
406	rib..bone	rib (bone)	801	RIB
407	rice..paddy:unhusked	unhusked rice (paddy)	2749	UNHUSKED RICE
408	rice..uncooked:husked	husked rice (uncooked)	3289	UNCOOKED RICE
409	rice.husk	rice husk	2501	RICE HUSK
410	rice.seedling	rice seedling	–	–
411	rice.straw	rice straw	3391	RICE STRAW
412	rice:cooked	cooked rice	1191	COOKED RICE
413	rice:crushed	crushed rice	3285	RICE FLOUR
414	rice:sticky	sticky rice	2750	GLUTINOUS RICE
415	right.side	right side	1019	RIGHT
